SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.0,70,0,0.0,23833.0,5,0,0,0,1.0
1,0.9999999,33,1,0.740129935,2000.0,6,0,0,0,3.0
0,0.12999846,65,1,0.357634994,6240.0,8,0,2,0,0.0
1,0.72745825,44,3,0.778059428,7100.0,8,0,1,1,3.0
0,0.000249988,56,0,5751.0,,16,0,3,0,0.0
0,0.744353643,54,1,0.310362542,13625.0,12,0,2,0,1.0
0,0.013578471,77,0,0.000830126,13250.0,2,0,0,0,0.0
1,0.052528199,36,1,0.261836202,14932.0,11,0,1,0,2.0
0,0.003797141,73,0,9.0,,7,0,0,0,0.0
0,0.708739706,43,0,0.293959575,8558.0,11,0,2,0,2.0
0,0.250191173,40,0,0.630304377,4500.0,13,0,1,0,1.0
0,0.9999999,32,0,0.0444247,2250.0,1,1,0,1,0.0
1,0.909003988,45,6,0.659060876,11350.0,15,1,3,0,0.0
0,0.499889941,56,0,0.26060684,23333.0,19,0,2,0,1.0
0,0.241233061,34,0,0.436912617,5000.0,11,0,2,0,0.0
0,0.173066431,45,0,0.382702162,8000.0,17,0,3,0,7.0
0,0.130136827,41,0,1.038384646,2500.0,11,0,0,0,2.0
0,0.403088139,50,0,0.530891485,9500.0,30,0,2,0,1.0
0,0.296756997,45,1,0.640062058,5800.0,12,0,3,0,0.0
0,0.006835804,62,0,12.0,,4,0,0,0,0.0
0,0.811818368,38,0,0.611652377,5131.0,8,0,2,0,0.0
0,0.921797005,56,0,0.590704648,1333.0,3,0,0,0,1.0
0,0.228493987,56,0,0.306564342,7296.0,9,0,2,0,0.0
0,0.036220881,72,0,0.064983754,4000.0,8,0,1,0,0.0
0,0.000693046,44,0,0.0,5178.0,2,0,0,0,0.0
0,0.076280266,45,0,0.433718324,5800.0,6,0,2,0,2.0
0,0.0,40,0,0.0,3500.0,1,0,0,0,0.0
0,0.054602112,80,0,0.377225067,4100.0,6,0,2,0,1.0
0,0.420771593,45,0,0.562751828,6700.0,9,0,2,0,2.0
0,0.367017608,46,0,0.260030125,7302.0,8,0,1,0,1.0
0,0.098910809,54,0,0.152445834,8953.0,11,0,1,0,0.0
1,0.089750282,41,0,2.219414894,751.0,7,0,1,0,1.0
0,0.001349153,49,0,0.612573885,1860.0,7,0,1,0,2.0
0,0.0,56,0,0.234362502,6250.0,3,0,2,0,0.0
0,0.235875415,45,0,0.020033389,11979.0,4,0,0,0,4.0
0,0.021806627,49,0,0.277595352,7917.0,16,0,2,0,3.0
0,0.049426554,41,0,0.187116126,7000.0,10,0,1,0,0.0
0,0.000590257,53,0,0.380231017,5280.0,8,0,1,0,0.0
0,0.466121556,53,2,1.28143214,1200.0,14,0,1,0,1.0
0,0.0,74,2,1784.0,,5,0,1,0,0.0
0,0.286892429,30,0,0.387543253,2600.0,10,0,0,0,0.0
0,0.032128341,55,0,0.018325698,2400.0,5,0,0,0,0.0
0,0.018219496,34,0,0.786038902,5500.0,14,0,1,0,2.0
0,0.031470541,59,0,1319.0,,8,0,1,0,0.0
0,0.316676597,61,0,0.631121076,11149.0,25,0,4,0,1.0
1,0.997062684,47,5,0.227954409,5000.0,5,0,0,1,2.0
0,0.247025099,38,0,0.225137082,9300.0,3,0,2,0,4.0
0,0.112057827,66,0,0.243962467,6500.0,9,0,2,0,0.0
0,0.033300891,80,0,0.180671269,4200.0,10,0,1,0,0.0
0,0.463947846,60,0,4140.0,,11,0,1,0,1.0
1,0.9999999,58,1,0.145141943,2500.0,1,1,0,0,0.0
0,0.205116492,65,1,128.0,,8,0,0,0,0.0
0,0.001719554,70,0,240.0,,7,0,0,0,0.0
0,0.121128899,50,0,0.369907523,4000.0,11,0,1,0,0.0
0,0.757638204,54,0,0.258176892,5166.0,7,0,1,0,0.0
0,0.068217113,62,0,1373.0,,4,0,1,0,0.0
0,0.927850299,61,2,4177.0,,12,0,2,0,1.0
0,0.207665871,68,0,0.313642565,7329.0,16,0,1,0,0.0
0,0.291690642,67,0,0.527547272,7350.0,16,0,1,0,1.0
0,0.03626943,33,0,1198.0,,2,0,1,0,0.0
0,0.0,53,0,2209.0,,5,0,1,0,1.0
0,0.990033223,23,0,0.109963346,3000.0,2,0,0,0,0.0
0,0.215421273,88,0,0.303262956,4167.0,5,0,1,0,0.0
0,0.075639885,49,0,0.723087654,4300.0,11,0,1,0,0.0
0,0.9999999,60,0,3.0,,0,0,0,0,0.0
0,0.083820008,75,0,0.010122164,5729.0,6,0,0,0,0.0
0,0.169221766,62,0,5941.0,,14,0,4,0,0.0
0,0.028228598,35,0,11.0,,2,0,0,0,0.0
0,0.095738044,36,0,0.208252783,15000.0,6,0,1,0,2.0
0,0.084376234,62,0,0.135869565,10487.0,15,0,2,0,0.0
0,0.027509081,33,0,0.631598652,2670.0,8,0,1,0,1.0
0,0.0,67,0,0.637194686,7000.0,7,0,1,0,0.0
0,0.069780898,56,1,0.479061725,13300.0,11,0,2,0,1.0
0,0.062192937,37,0,0.321711569,4416.0,8,0,2,0,1.0
0,0.00860487,76,0,12.0,,7,0,0,0,0.0
0,0.127138394,68,0,231.0,0.0,9,0,0,0,0.0
0,0.381138778,31,0,0.330814108,7541.0,12,0,1,0,1.0
0,0.201199201,23,0,0.003746878,2401.0,1,0,0,0,0.0
0,0.983842674,55,1,0.454880295,3800.0,4,2,2,0,3.0
0,0.253605241,68,0,0.302944418,6350.0,14,0,1,0,0.0
0,0.012459622,22,0,0.002150538,929.0,5,0,0,0,0.0
0,0.007174216,59,0,0.519675203,1600.0,12,0,1,0,0.0
0,0.0067651,57,0,0.164845385,4300.0,12,0,0,0,0.0
0,0.666083354,52,0,0.44077275,5900.0,6,0,1,0,0.0
0,0.288451925,33,0,0.21509434,7419.0,8,0,1,0,0.0
1,0.935447015,31,0,1002.0,,7,0,1,0,1.0
0,0.009549761,81,1,0.005275779,2084.0,6,0,0,0,0.0
0,0.145897811,67,0,680.0,,9,0,0,0,0.0
0,0.0,37,0,0.306447775,4202.0,9,0,1,0,0.0
0,5994.0,36,0,0.469271693,5450.0,6,0,1,0,0.0
0,0.003100515,47,0,0.376633987,3671.0,6,0,1,0,0.0
0,0.197995112,51,0,0.782789507,3125.0,10,0,1,0,1.0
0,0.441961074,49,0,0.569897343,6623.0,7,0,2,0,3.0
0,0.105020649,46,0,3672.0,,12,0,1,0,1.0
0,0.424532728,43,0,0.222548608,7148.0,6,0,2,0,3.0
0,0.055195584,51,0,20.0,,5,0,0,0,0.0
1,2.297612046,42,1,0.806048488,4000.0,8,2,1,4,0.0
0,3.3e-05,45,0,0.211489578,5900.0,6,0,1,1,3.0
0,0.9999999,26,0,0.007773459,1800.0,1,0,0,0,0.0
0,0.0,25,1,0.090181964,5000.0,4,0,0,0,0.0
0,0.26348589,49,1,8.305674588,7700.0,14,0,0,0,5.0
0,0.350872354,55,0,0.056981006,3000.0,7,0,0,0,0.0
0,0.147530055,53,0,6374.0,,6,0,1,0,0.0
0,0.411171434,42,0,0.550064277,7000.0,10,0,2,0,2.0
0,0.078515888,71,0,622.0,,4,0,0,0,0.0
0,0.005084407,60,0,0.125511856,10500.0,15,0,2,0,0.0
0,0.022126987,49,0,0.005248688,4000.0,3,0,0,0,0.0
0,0.689748288,51,0,0.604125249,4023.0,6,0,1,0,0.0
0,0.300149897,65,0,0.732965009,14660.0,23,0,5,0,0.0
0,0.109950853,56,0,0.264997778,6750.0,10,0,1,0,0.0
0,0.059273316,73,0,0.248937553,20000.0,12,0,1,0,2.0
0,0.014296747,44,0,0.21710161,1800.0,8,0,0,0,1.0
0,0.009243117,38,1,0.001454281,5500.0,6,0,0,0,0.0
0,0.099627307,31,0,0.43902439,2500.0,2,0,1,0,0.0
0,0.026290642,72,0,1274.0,,14,0,1,0,0.0
0,0.032713702,56,2,0.141318839,9750.0,7,0,1,0,0.0
0,0.114155191,69,0,1.271041629,5500.0,12,0,4,0,0.0
0,0.680568258,84,0,0.522113943,2667.0,6,0,3,0,0.0
0,0.16779161,74,0,1545.0,,4,0,1,0,0.0
0,0.012789893,82,0,0.002394029,7100.0,4,0,0,0,0.0
0,0.962869142,30,1,0.28391888,3500.0,9,0,0,0,5.0
0,0.010584105,66,0,24.0,,20,0,0,0,0.0
0,0.28689336,61,0,0.254090294,16257.0,19,0,1,0,0.0
0,0.566361436,34,0,0.346397695,1734.0,6,0,1,0,4.0
0,0.9999999,56,2,0.23072905,13400.0,3,1,2,1,2.0
0,0.040129755,91,0,26.0,,3,0,0,0,0.0
0,0.373741399,41,1,0.608185575,7500.0,25,0,1,0,0.0
0,0.022919013,62,0,0.165210713,10416.0,5,0,1,0,0.0
0,0.0,36,0,0.370418677,7666.0,4,0,1,0,2.0
0,0.024318154,67,0,0.003636033,11000.0,6,0,0,0,0.0
0,0.102779444,49,0,0.002608242,5750.0,3,0,0,0,0.0
0,0.001822328,72,0,0.290397582,4300.0,17,0,1,0,0.0
0,0.460114066,29,0,558.0,,4,0,0,0,0.0
0,0.482889618,56,0,0.399975394,8127.0,22,0,1,0,0.0
0,0.218079196,69,0,1559.0,,13,0,2,0,
0,0.681036398,39,1,0.42382217,10166.0,11,0,3,0,0.0
0,0.237752969,54,0,0.263491106,3316.0,6,0,1,0,3.0
0,0.103714071,58,0,0.234177854,9906.0,26,0,2,0,0.0
0,0.687986567,29,1,0.102435978,1600.0,6,0,0,0,0.0
0,0.133982483,55,0,1615.0,1.0,13,0,1,0,0.0
0,0.092034602,33,0,0.276895415,10010.0,8,0,1,0,3.0
0,0.027525515,62,0,0.021760439,5100.0,14,0,0,0,0.0
0,0.0,44,0,0.434844698,2800.0,4,0,1,0,0.0
0,0.351372337,53,1,0.328893604,25451.0,11,0,3,0,0.0
0,0.235128412,62,0,0.361637219,7866.0,15,0,1,0,3.0
0,0.060096337,67,0,0.237985577,16500.0,16,0,2,0,0.0
0,0.043406261,48,1,0.301629238,9083.0,8,0,1,0,3.0
0,0.891862001,57,0,0.49856,12499.0,12,0,3,0,2.0
0,0.716283716,46,0,0.389372947,7000.0,9,0,2,0,0.0
0,0.025994224,71,2,2718.0,,7,0,0,0,0.0
0,0.450157098,58,0,0.15972034,18450.0,7,0,1,0,1.0
0,0.023048828,53,0,0.304266816,5366.0,7,0,1,0,1.0
0,0.139885375,38,1,1.758600412,3400.0,5,0,2,0,0.0
0,0.026341412,50,0,1607.0,,9,0,1,0,0.0
0,0.223170134,46,0,0.55782235,8724.0,11,0,2,0,2.0
0,0.9999999,29,0,0.0,2000.0,0,1,0,0,0.0
0,0.69234638,40,0,0.107829565,6500.0,8,0,0,0,0.0
0,0.214938474,45,0,0.311370337,7800.0,5,0,2,0,5.0
0,0.012702812,70,0,0.286871313,10000.0,12,0,1,0,0.0
1,0.863126782,50,2,0.318368163,10000.0,12,0,1,0,1.0
0,0.031878576,66,0,0.017149717,5830.0,8,0,0,0,0.0
0,0.006891076,87,0,0.005994006,1000.0,10,0,0,0,0.0
0,0.084091399,72,0,0.34362502,6250.0,16,1,1,0,0.0
0,0.186559958,58,0,0.310093652,5765.0,7,0,2,0,0.0
0,0.0,50,0,1737.0,,15,0,2,0,1.0
0,0.093244452,80,0,0.35818409,2400.0,9,0,1,0,1.0
0,0.032913482,64,1,0.25247896,12000.0,12,0,1,0,0.0
0,0.849592915,56,1,0.298569451,6500.0,7,1,0,0,0.0
0,0.147047386,56,1,0.114401077,3714.0,6,0,0,0,0.0
0,0.044298893,67,0,0.138716618,7900.0,5,0,1,0,0.0
0,0.681682958,68,0,0.293521187,9368.0,8,0,1,0,0.0
0,0.776447106,52,0,11.0,,1,0,0,1,0.0
0,0.018038323,51,0,0.203967365,6250.0,23,0,2,0,0.0
0,0.510731857,57,0,0.422766179,12500.0,14,0,4,0,3.0
0,0.232883596,58,1,0.032220114,68000.0,8,0,1,0,3.0
0,0.697907814,51,0,0.950451722,7083.0,17,0,3,0,1.0
1,0.042802081,42,0,0.389851967,10267.0,17,0,2,0,2.0
1,0.422219711,46,0,1.349174386,4965.0,10,0,5,0,2.0
0,0.0,26,0,0.0,900.0,2,0,0,0,0.0
0,0.9999999,57,6,0.61829436,7269.0,12,0,2,0,2.0
0,0.220318645,45,0,0.303898927,7360.0,4,0,2,0,3.0
0,0.105059556,45,0,0.320139697,7730.0,18,0,1,0,2.0
0,0.9999999,27,0,0.03407542,2200.0,0,4,0,0,0.0
1,1.020549641,33,1,0.940019349,3100.0,15,3,1,1,2.0
0,0.907791822,37,0,0.604341626,6310.0,7,0,1,0,3.0
0,0.087201364,46,0,0.374890255,10250.0,24,0,2,0,1.0
0,0.112593857,58,0,2272.0,,16,0,1,0,0.0
0,0.213545836,53,0,0.213866623,12100.0,14,0,2,0,2.0
0,0.428252978,39,0,0.319545187,5100.0,7,0,1,0,3.0
0,0.020449644,76,2,0.294117647,6000.0,11,0,1,0,1.0
0,0.023181183,70,1,0.060715143,4166.0,42,1,0,0,0.0
0,0.002256381,63,0,0.00059997,6666.0,9,0,0,0,0.0
0,0.270354452,56,0,0.433818687,13666.0,10,0,1,0,0.0
0,0.961445435,45,0,0.291050584,6424.0,7,0,0,0,0.0
0,0.9999999,27,0,0.064623584,1500.0,2,0,0,0,0.0
0,0.012553653,61,0,0.020518359,8333.0,4,0,0,1,0.0
0,0.121938557,49,0,0.155336154,10634.0,12,0,2,0,0.0
0,0.082147946,37,0,0.174227526,30000.0,6,0,2,0,0.0
0,0.104884227,73,0,69.0,,5,0,0,0,0.0
0,0.27565137,38,0,0.59435771,3650.0,10,0,0,0,1.0
0,1.133546581,28,0,0.046678373,6833.0,2,0,0,0,0.0
0,0.00938917,64,0,0.148303231,16000.0,15,0,1,0,0.0
0,0.0,53,0,1505.0,,5,0,1,0,0.0
0,0.653239612,50,0,0.389841351,7815.0,8,0,1,0,1.0
0,1.004416299,42,0,0.283397394,10666.0,6,0,2,0,3.0
0,0.003573697,58,0,0.433713784,6833.0,18,0,2,0,0.0
0,0.9999999,47,0,0.362674726,2646.0,2,1,0,0,1.0
0,0.018912632,57,0,2135.0,,10,0,2,0,
0,0.002612566,67,0,0.001188707,3364.0,4,0,0,0,0.0
1,0.970893142,39,1,0.559185813,11446.0,9,0,3,2,2.0
0,1.036592681,40,2,0.21054226,3300.0,3,0,0,0,1.0
0,0.586703683,71,3,0.579684063,5000.0,14,0,1,0,0.0
0,0.041084962,64,0,0.264227981,12000.0,8,0,1,0,0.0
0,0.813319619,47,0,0.065331928,15183.0,4,0,0,0,4.0
0,1.021165491,39,0,2350.0,,11,0,0,0,0.0
0,0.11694686,80,2,0.22397365,8500.0,15,0,1,0,0.0
0,0.003090769,68,0,0.00036357,5500.0,2,0,0,0,1.0
0,0.023314672,48,0,0.144633317,10294.0,14,0,1,0,1.0
0,0.03888795,41,0,0.048390322,5000.0,5,0,0,1,0.0
0,0.0,81,0,0.0,,2,0,0,0,0.0
0,0.006914863,56,0,0.298220182,12416.0,49,0,2,0,1.0
0,0.9999999,21,0,400.0,,1,0,0,0,0.0
0,0.472124206,39,1,0.451124852,7600.0,11,0,3,0,0.0
0,0.156301681,31,0,0.044898739,5233.0,6,0,0,0,1.0
0,0.45297843,37,0,0.252366351,7500.0,8,0,1,0,1.0
0,0.06964165,73,0,0.006080876,9866.0,5,0,0,0,0.0
0,0.002854494,51,1,0.367784747,11000.0,10,0,2,0,2.0
